financial_id,loan_id,origination_salary,current_salary,origination_credit_score,current_credit_score
FIN-88917,LNK-84810,9141.65,,692,
FIN-18639,LNK-15592,19101.09,21883.37,737,743
FIN-22733,LNK-4278,13987.53,177031.56,825,810
FIN-4657,LNK-98196,3410.06,"$3,484.36",732,727
FIN-10764,LNK-37048,4434.75,4740.21,800,805
FIN-35214,LNK-33098,3355.57,2263.68,709,646
FIN-87753,LNK-30256,17376.77,7832.24,671,589
FIN-69449,LNK-19289,3824.15,"$4,853.79",599,591
FIN-32959,LNK-97530,3124.64,2244.66,632,559
FIN-26995,LNK-14434,18315.84,18193.88,613,628
FIN-32841,LNK-89696,12227.24,12150.57,661,660
FIN-43420,LNK-98080,11084.67,11018.48,814,826
FIN-35991,LNK-72482,8479.65,10058.99,667,696
FIN-8820,LNK-12395,21544.24,10861.99,809,680
FIN-13772,LNK-78397,10225.08,10440.28,693,675
FIN-15587,LNK-56302,9799.36,13581.29,809,803
FIN-25193,LNK-5165,14785.90,19604.20,613,650
FIN-59053,LNK-4905,20020.18,15412.79,821,747
FIN-23149,LNK-13280,17653.89,17655.65,778,757
FIN-72002,LNK-29657,8816.03,11408.85,761,762
FIN-28139,LNK-31495,18778.83,18164.07,655,650
FIN-52008,LNK-67237,18233.56,13001.89,614,545
FIN-2496,LNK-79907,17488.66,21603.60,586,608
FIN-26637,LNK-4478,13300.96,12357.51,790,788
FIN-1212,LNK-74563,7445.87,8090.87,623,660
FIN-67605,LNK-27062,19658.62,20403.40,624,636
FIN-64135,LNK-94850,17639.75,18046.13,783,759
FIN-52759,LNK-86181,4532.88,4920.07,721,713
FIN-39152,LNK-92924,18744.70,10594.28,661,620
FIN-62435,LNK-72426,16382.12,"$17,213.81",735,726
FIN-64295,LNK-55987,18169.16,25649.31,663,672
FIN-7056,LNK-29893,4457.80,4835.75,780,777
FIN-96985,LNK-59878,8610.01,12406.66,647,688
FIN-76105,LNK-78236,9844.28,4395.00,776,745
FIN-2385,LNK-37463,6177.29,6223.61,602,588
FIN-56284,LNK-1851,8374.80,5825.52,618,434
FIN-87691,LNK-21926,14689.52,19582.60,708,703
FIN-88164,LNK-92506,3557.12,3761.61,723,700
FIN-64329,LNK-56392,12892.34,13007.98,745,753
FIN-58080,LNK-45597,13905.20,16280.31,672,672
FIN-15209,LNK-37421,18630.43,11347.27,731,550
FIN-72232,LNK-21379,4145.99,4027.20,723,711
FIN-32095,LNK-29221,21214.74,20980.66,800,815
FIN-61952,LNK-45118,3833.62,4094.78,805,784
FIN-50442,LNK-14396,4433.46,5041.12,720,746
FIN-19924,LNK-13156,5010.91,5221.55,654,631
FIN-98053,LNK-50797,19442.71,,780,
FIN-80128,LNK-13676,19837.20,21274.00,647,659
FIN-49912,LNK-48052,3334.07,3203.96,712,717
FIN-1338,LNK-46082,9422.89,11763.28,668,706
FIN-64331,LNK-80131,9675.63,11936.75,637,631
FIN-56190,LNK-35671,17313.33,17020.73,793,780
FIN-86748,LNK-6695,21225.88,19788.73,746,724
FIN-64278,LNK-96647,19865.21,28618.25,587,589
FIN-91314,LNK-61217,13807.96,14407.75,595,597
FIN-9608,LNK-71284,"$11,663.81",7199.06,651,564
FIN-84428,LNK-17361,19363.12,23407.79,734,739
FIN-55530,LNK-50615,5428.96,,698,
FIN-25319,LNK-11328,4875.42,,582,
FIN-13295,LNK-73357,"$12,313.17",14280.07,592,617
FIN-66403,LNK-39427,7593.23,7247.58,587,587
FIN-20304,LNK-83397,13062.72,12614.02,758,767
FIN-6478,LNK-82070,13399.54,13723.47,642,646
FIN-37954,LNK-48400,16858.40,21025.04,616,639
FIN-72512,LNK-76674,9040.43,9318.81,755,753
FIN-69623,LNK-26203,9283.17,9010.42,802,784
FIN-68652,LNK-93349,17570.48,25159.63,780,771
FIN-52740,LNK-10116,20451.29,19355.41,772.0,762
FIN-74520,LNK-7006,13219.09,16776.63,705,707
FIN-7465,LNK-87673,13601.77,,641,
