loan_id,loan_type,approved_amount,interest_rate,start_date
LNK-84810,ARM,486130.37,5.812,2020-04-28
LNK-15592,Fixed Purchase,516802.70,4.028,2025-06-19
LNK-4278, ARM ,1337487.83,3.717,2020-10-06
LNK-98196,Fixed Purchase,392043.08,,2024-09-15
LNK-37048,Jumbo Purchase,941181.20,7.753,2021-01-03
LNK-33098,Jumbo Purchase,380782.66,0.0697,2023-09-14
LNK-30256,Fixed Purchase,574982.30,7.343,2025-05-30
LNK-19289,Refinance,567538.44,6.617,2019-07-08
LNK-97530,Fixed Purchase,333825.39,7.425,2022-09-02
LNK-14434,ARM,282371.86,6.003,2025-12-25
LNK-89696,ARM,604943.89,5.971,2025-02-16
LNK-98080,Fixed Purchase,88412.17,4.764,2022-11-19
LNK-72482,Refinance,90133.23,6.436,2023-03-22
LNK-12395,Fixed Refinance,140612.73,4.353,2024-07-08
LNK-78397,FHA Purchase,61169.81,3.941,2021-08-06
LNK-56302,Refinance,459953.10,7.298,2019-12-14
LNK-5165,Refinance,425910.39,5.768,2019-09-13
LNK-4905,FHA Purchase,211672.88,5.120,2023-05-29
LNK-13280,Fixed Refinance,255160.88,3.699,2021-04-10
LNK-29657,Fixed Refinance,143300.47,5.198%,2022-07-10
LNK-31495,Refinance,601079.58,4.633,2021-12-21
LNK-67237,Fixed Purchase,517064.34,6.815,2025-10-07
LNK-79907,Jumbo Purchase,260369.61,4.830,2022-12-28
LNK-4478,Fixed Purchase,244879.78,4.506,2023-07-15
LNK-74563,Refinance,379314.68,3.808,2020-07-26
LNK-27062,Fixed Purchase,502813.60,4.612,2023-06-29
LNK-94850,Refinance,429906.48,4.435%,2019-11-04
LNK-86181,Fixed Purchase,567835.40,4.310,2022-09-20
LNK-92924,FHA Purchase,112091.17,5.634,2023-06-06
LNK-72426,ARM,313265.25,6.461,2022-01-31
LNK-55987,Jumbo Purchase,103537.45,4.819,2022-04-23
LNK-29893,Jumbo Purchase,341281.55,5.416,2023-09-14
LNK-59878,Jumbo Purchase,366310.52,7.239%,2019-03-21
LNK-78236,Fixed Refinance,277124.98,5.339%,2025-05-05
LNK-37463,ARM,181201.49,3.910,2022-02-24
LNK-1851,FHA Purchase,368246.28,8.098,2020-10-15
LNK-21926,Refinance,227591.95,7.069,2019-08-18
LNK-92506,FHA Purchase,392995.28,5.440,2020-12-12
LNK-56392,REFINANCE,516322.47,7.056,2019-04-26
LNK-45597,ARM,"$388,693.48",6.609,2024-07-09
LNK-37421,Fixed Purchase,1131330.23,,2024-05-11
LNK-21379,Jumbo Purchase,192783.45,6.869,2022-08-18
LNK-29221,Fixed Purchase,462012.54,4.233,2024-11-25
LNK-45118,FHA Purchase,284871.07,5.471,2020-02-18
LNK-14396,ARM,607085.46,4.716,2026-03-03
