ledger_id,loan_id,due_date,paid_date,emi_due,emi_paid
TXN-21119,LNK-79067,2022-03-01,2022-03-02,"$1,313.48",1295.43
TXN-21763,LNK-79067,2022-04-01,2022-04-05,1281.00,1261.87
TXN-26939,LNK-79067,2022-05-01,2022-05-08,1323.66,1305.35
TXN-15956,LNK-79067,2022-06-01,2022-06-03,1297.05,1295.78
TXN-20704,LNK-11345,2023-04-01,2023-04-09,4332.02,4262.83
TXN-94796,LNK-11345,2023-05-01,2023-05-09,4401.08,4373.61
TXN-69422,LNK-11345,2023-06-01,2023-06-02,4377.14,4349.69
TXN-50043,LNK-11345,2023-07-01,2023-07-04,4380.72,4313.41
TXN-71265,LNK-11345,2023-08-01,2023-08-02,4462.03,4421.49
TXN-43843,LNK-11345,2023-09-01,2023-09-16,4279.15,2432.26
TXN-83413,LNK-99624,2022-07-01,2022-07-03,3067.98,3030.70
TXN-22221,LNK-99624,2022-08-01,2022-08-09,3179.74,3146.52
TXN-51066,LNK-99624,09/01/2022,2022-09-10,3106.76,3084.57
TXN-99986,LNK-99624,2022-10-01,2022-11-09,3083.19,3013.95
TXN-72268,LNK-99624,2022-11-01,2022-11-13,3179.01,3140.31
TXN-84535,LNK-40537,2020-08-01,2020-08-06,1613.95,1598.57
TXN-67172,LNK-40537,09/01/2020,2020-09-02,1654.01,1632.12
TXN-22645,LNK-10150,2022-03-01,2022-03-01,1713.97,1709.20
TXN-87075,LNK-10150,2022-04-01,04/11/2022,1712.27,1699.73
TXN-45925,LNK-10150,2022-05-01,2022-06-08,"$1,697.47",$860.36
TXN-26968,LNK-82083,2026-04-01,2026-04-06,1007.71,991.02
TXN-34748,LNK-82083,2026-05-01,2026-05-05,1055.58,1047.35
TXN-75621,LNK-82083,2026-06-01,2026-05-30,1046.32, 1040.16 
TXN-17404,LNK-82083,2026-07-01,,1041.48,0.00
TXN-34392,LNK-49916,2025-11-01,,1412.04,0.00
TXN-18878,LNK-49916,2025-12-01,2025-12-30,1417.40,482.53
TXN-32650,LNK-49916,2026-01-01,2025-12-30,"$1,400.60",1385.36
TXN-43757,LNK-60441,2023-06-01,2023-06-11,2180.47,2151.67
TXN-52220,LNK-60441,2023-07-01,2023-07-01,2225.69,2181.71
TXN-80651,LNK-48139,2024-01-01,2023-12-29,2769.13,2719.23
TXN-30199,LNK-48139,2024-02-01,2024-01-31,2796.73,2758.65
TXN-44426,LNK-48139,2024-03-01,2024-04-05,2876.18,2841.37
TXN-72631,LNK-21719,2020-01-01,2020-01-06,1080.73,1072.82
TXN-11146,LNK-21719,2020-02-01,2020-01-29,1099.17,1096.13
TXN-76705,LNK-21719,2020-03-01,,1085.98,0.00
TXN-13286,LNK-21719,2020-04-01,2020-04-07,1083.04,1062.90
TXN-75280,LNK-69732,2025-07-01,2025-07-05,1534.05,1516.24
TXN-15662,LNK-69732,2025-08-01,,1504.00,0.00
TXN-86633,LNK-69732,2025-09-01,,1564.06,0.00
TXN-33650,LNK-69732,2025-10-01,2025-09-30,1523.85,1520.46
TXN-70469,LNK-69732,2025-11-01,2025-11-03,1502.71,1479.66
TXN-77816,LNK-69732,2025-12-01,2025-12-01,1533.98,1518.88
TXN-94378,LNK-40472,2019-09-01,2019-09-13,4059.66,3988.11
TXN-57583,LNK-40472,2019-10-01,2019-10-11,4249.62,4247.55
TXN-68800,LNK-40472,2019-11-01,2019-11-20,4187.06,4115.70
TXN-45287,LNK-47135,2020-08-01,NULL,763.65,$0.00
TXN-35306,LNK-47135,09/01/2020,10/12/2020,762.70,463.65
TXN-63703,LNK-47135,2020-10-01,2020-10-10,759.56,442.85
TXN-47762,LNK-47135,2020-11-01,2020-11-04,763.99,758.97
TXN-31441,LNK-9639,2023-02-01,2023-03-04,"$3,910.57",1577.18
TXN-53263,LNK-9639,2023-03-01,,3933.25,0.00
TXN-45980,LNK-9639,2023-04-01,2023-04-02,4063.32,4059.49
TXN-33391,LNK-57640,11/01/2024,2024-10-31,2943.77,2898.43
TXN-98716,LNK-57640,2024-12-01,2025-01-30,2856.32,2828.81
TXN-50578,LNK-80320,2021-06-01,2021-06-30,2215.20,1514.27
TXN-98990,LNK-80320,2021-07-01,2021-07-17,2227.25,2178.12
TXN-70530,LNK-80320,2021-08-01,2021-08-07,2222.46,1064.50
TXN-17963,LNK-80320,2021-09-01,,2286.44,0.00
TXN-32575,LNK-80320,2021-10-01,2021-10-30,2217.80,2175.20
TXN-60616,LNK-80320,2021-11-01,2021-11-05,2274.15,2254.64
TXN-91857,LNK-1324,2024-08-01,2024-08-13,3033.21,2983.78
TXN-24165,LNK-1324,2024-09-01,2024-09-08,2950.80,2901.43
TXN-92482,LNK-1324,2024-10-01,2024-10-01,2938.24,2886.44
TXN-51733,LNK-1324,2024-11-01,,3075.27,0.00
TXN-96719,LNK-1324,2024-12-01,2024-12-05,3022.81,2977.09
TXN-48302,LNK-1324,2025-01-01,2025-01-07,2965.37,2940.15
TXN-62230,LNK-33311,2023-09-01,2023-10-30,2637.03,2606.33
TXN-63174,LNK-33311,2023-10-01,2023-10-13,2629.55,2616.29
TXN-67196,LNK-33311,2023-11-01,,2531.18,0.00
TXN-89502,LNK-23047,2025-03-01,2025-03-08,3519.51,3508.09
TXN-92031,LNK-23047,2025-04-01,,3609.65,0.00
TXN-27248,LNK-50479,2021-04-01,2021-03-31,932.90,921.92
TXN-16853,LNK-50479,2021-04-01,2021-03-31,932.90,921.92
TXN-10196,LNK-50479,2021-05-01,2021-05-17,966.37,929.06
TXN-73411,LNK-38353,2025-06-01,2025-07-28,6338.45,6148.37
TXN-32840,LNK-38353,2025-07-01,2025-06-28,6119.12,6050.19
TXN-84935,LNK-38353,2025-08-01,2025-07-31,6089.66,5981.00
TXN-70176,LNK-38353,2025-09-01,2025-09-01,6318.82,6213.88
TXN-29546,LNK-38353,2025-10-01,2025-10-17,6216.97,4451.04
TXN-27241,LNK-38353,2025-11-01,2025-10-29,6099.70,5986.14
TXN-40866,LNK-62057,2024-06-01,2024-07-28,5408.85,5159.79
TXN-25222,LNK-62057,2024-07-01,2024-07-09,5422.18,5416.00
TXN-78581,LNK-62057,2024-08-01,,5396.70,0.00
TXN-94928,LNK-62057,2024-09-01,2024-09-05,5283.04,3031.03
TXN-67366,LNK-62057,2024-10-01,2024-10-05,5240.54,5223.07
TXN-13337,LNK-54492,2025-06-01,2025-06-05,2830.66,2808.27
TXN-76685,LNK-54492,2025-07-01,2025-07-02,2946.80,2933.77
TXN-63771,LNK-54492,2025-08-01,2025-10-09,2828.17,2743.53
TXN-41566,LNK-54492,2025-09-01,2025-11-07,2840.18,2834.82
TXN-37274,LNK-54492,2025-10-01,2025-10-06,2925.73,2916.20
TXN-49658,LNK-54492,2025-11-01,11/05/2025,2810.27,2786.20
TXN-46259,LNK-15064,2020-01-01,,960.46,0.00
TXN-55928,LNK-15064,2020-02-01,2020-02-29,967.81,656.75
TXN-40222,LNK-15064,2020-03-01,2020-03-13,996.12,$990.17
TXN-86306,LNK-15064,2020-04-01,2020-04-15,981.30,439.62
TXN-67601,LNK-15064,2020-05-01,,972.54,0.00
TXN-57172,LNK-88806,2019-08-01,2019-08-09,3184.76,3173.50
TXN-16133,LNK-88806,2019-09-01,2019-09-06,3143.06,3136.91
TXN-81950,LNK-67731,2020-05-01,2020-05-09,1486.55,1484.95
TXN-32595,LNK-67731,2020-06-01,2020-06-13,1470.90,1468.40
TXN-84655,LNK-67731,2020-07-01,2020-07-01,1455.13,1454.73
TXN-95741,LNK-67731,2020-08-01,2020-08-08,1445.40,1429.08
TXN-12668,LNK-67731,2020-09-01,2020-09-04,1450.28,1421.40
TXN-36362,LNK-46982,2022-09-01,2022-08-29,2732.78,2690.08
TXN-77318,LNK-46982,2022-10-01,2022-09-28,2704.29,2663.08
TXN-52228,LNK-66597,2020-03-01,,1427.77,0.00
TXN-61037,LNK-66597,2020-04-01,2020-04-13,1457.76,645.92
